Source,Destination,Anchor
https://www.hhs.gov/surgeongeneral/reports-and-publications/health-misinformation/index.html,https://www.hhs.gov/surgeongeneral/priorities/downloads/health-misinformation-reasons-to-use.mp4,Download - MP4
https://www.hhs.gov/surgeongeneral/reports-and-publications/addiction-and-substance-misuse/index.html,https://www.cdc.gov/ncbddd/fasd/documents/sg-advisory.pdf,Advisory
https://www.hhs.gov/surgeongeneral/reports-and-publications/skin-cancer/index.html,https://www.cdc.gov/cancer/skin/what_cdc_is_doing/progress_report.htm,Report
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/index.html,https://www.cdc.gov/physicalactivity/walking/call-to-action/pdf/partnerguide.pdf,Booklet
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/index.html,https://www.cdc.gov/physicalactivity/walking/call-to-action/pdf/partnerguide.pdf,Partners Guide
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/index.html,https://www.cdc.gov/physicalactivity/downloads/mallwalking-guide.pdf,Resource
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/index.html,https://www.cdc.gov/physicalactivity/walking/index.htm,Resource
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/index.html,https://www.cdc.gov/physicalactivity/walking/call-to-action/pdf/infographic.pdf,Infographic
https://www.hhs.gov/accessibility/os-technical-resources/index.html,https://digital.gov/resources/improving-the-accessibility-of-social-media-in-government/,Digitial.gov's Improving the Accessibility of Social Media in Government
https://www.hhs.gov/accessibility/digital-accessibility-terms/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-acquisition-regulation,GSA
https://www.hhs.gov/accessibility/acquisition-requirements/index.html,https://www.hhs.gov/web/governance/digital-strategy/it-policy-archive/department-of-health-and-human-services-hhs-policy-on-section-508-and-accessibility-of-technology.html,https://www.hhs.gov/web/governance/digital-strategy/it-policy-archive/department-of-health-and-human-services-hhs-policy-on-section-508-and-accessibility-of-technology.html
https://www.hhs.gov/healthcare/workforce/recruit-train-retain/index.html,https://chcworkforce.org/wp-content/uploads/2022/10/CWP-Instructions-Template-Action-Plan-Final.docx,Health Center Comprehensive Workforce Plan
https://www.hhs.gov/answers/programs-for-families-and-children/at-what-age-can-a-child-be-home-alone/index.html,https://www.childwelfare.gov/pubs/factsheets/homealone.pdf,Leaving Your Child Home Alone
https://www.hhs.gov/answers/health-insurance-reform/how-can-i-complain-about-poor-medical-care/index.html,https://www.medicare.gov/claims-and-appeals/file-an-appeal/appeals.html,file an appeal
https://www.hhs.gov/about/agencies/ogc/about/index.html,https://www.hhs.gov/ogc/careers/career.html,OGC Practice Areas
https://www.hhs.gov/about/agencies/ogc/careers/where-to-apply/index.html,https://www.hhs.gov/ogc/offices/locations.html,Locations
https://www.hhs.gov/programs/health-insurance/medicaid-chip-renewal-transition-resources-partners/index.html,https://www.cms.gov/files/document/agent-and-broker-toolkit-transitions-coverage.pdf,English
https://www.hhs.gov/civil-rights/for-providers/training/index.html,https://www.dhs.gov/sites/default/files/2023-02/lep-covid-ppt.pdf,View the training
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.dhs.gov/sites/default/files/2023-02/lep-covid-ppt.pdf,View the training
https://www.hhs.gov/civil-rights/for-individuals/special-topics/emergency-preparedness/index.html,https://www.dhs.gov/sites/default/files/2023-02/lep-covid-ppt.pdf,View the training
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-french.pdf,French
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-ukrainian.pdf,Ukrainian
